review_id,employee_id,rating,manager_name,feedback,Review_Date
PRF000001,EMP00454,4,"Farhan Sharaf","Excellent Performer",2023-09-07
PRF000002,EMP00097,3,"Omaja Kashyap","Needs Improvement",2024-08-11
PRF000003,EMP00034,1,"Upma Pant","Below Average",2025-02-01
PRF000004,EMP01077,3,NULL,Outstanding,2024-05-01
PRF000005,EMP00504,3,"Ranveer Sood","Excellent Performer",2026-01-07
PRF000006,EMP00898,2,"Farhan Sharaf","Meets Expectations",2024-02-19
PRF000007,EMP00507,2,"Charles Bera","Meets Expectations",2025-09-27
PRF000008,EMP01015,2,"Niharika Nagi","Meets Expectations",2023-10-17
PRF000009,EMP00817,2,"Jagvi Parmar","Exceeds Expectations",2024-07-28
PRF000010,EMP00289,5,"Dhruv Wagle",Outstanding,2025-03-02
PRF000011,EMP00856,4,"Avni Chatterjee","Needs Improvement",2023-08-11
PRF000012,EMP00206,1,"Azaan Grewal","Below Average",2024-03-15
PRF000013,EMP00692,4,"Damini Mohanty",Outstanding,2025-05-01
PRF000014,EMP00076,1,"Veda Sahota","Below Average",2024-09-29
PRF000015,EMP00736,1,"Dipta Bhatti","Needs Improvement",2024-11-07
PRF000016,EMP00907,1,"Niharika Nagi","Needs Improvement",2024-09-12
PRF000017,EMP00730,2,"Avni Chatterjee","Meets Expectations",2025-12-03
PRF000018,EMP00429,2,"Damini Mohanty","Excellent Performer",2023-09-17
PRF000019,EMP00032,1,"Charles Bera","Below Average",2026-07-21
PRF000020,EMP00873,5,"Pavani Magar","Excellent Performer",2024-09-09
PRF000021,EMP00578,2,"Anthony Kanda","Exceeds Expectations",2024-03-24
PRF000022,EMP01109,4,"Veda Sahota","Needs Improvement",2025-11-13
PRF000023,EMP00003,2,"Chanakya Dada","Meets Expectations",2023-09-26
PRF000024,EMP00841,2,"Indira Balakrishnan","Exceeds Expectations",2025-07-18
PRF000025,EMP00615,2,"Farhan Sharaf","Exceeds Expectations",2024-03-24
PRF000026,EMP00886,2,"Omaja Kashyap","Meets Expectations",2025-12-11
PRF000027,EMP00283,4,"Niharika Nagi","Excellent Performer",2025-06-23
PRF000028,EMP00908,3,"Udant Bala","Needs Improvement",2023-08-26
PRF000029,EMP01049,2,"Nikita Dua","Meets Expectations",2024-06-09
PRF000030,EMP01168,4,"Neelima Bhasin",Outstanding,2026-06-25
PRF000031,EMP01072,1,"Saumya Srinivas","Below Average",2026-06-19
PRF000032,EMP00343,2,"Xavier Gole","Needs Improvement",2025-06-21
PRF000033,EMP00371,2,"Upma Pant","Meets Expectations",2023-09-18
PRF000034,EMP00445,1,"Omaja Kashyap","Below Average",2023-11-15
PRF000035,EMP00754,2,"Ekansh Samra","Exceeds Expectations",2026-03-21
